Standard Model;G2;G3;G2
"Zeitpunkt in s";"firel in deg";"firel in deg";"firel in deg"
0,339167;107,795148;81,787614;107,795148
0,340167;107,936655;81,877930;107,936655
0,341167;108,077525;81,967820;108,077525
0,342167;108,217757;82,057282;108,217757
0,343167;108,357349;82,146315;108,357349
0,344167;108,496297;82,234920;108,496297
0,345167;108,634601;82,323095;108,634601
0,346167;108,772257;82,410839;108,772257
0,347167;108,909263;82,498151;108,909263
0,348167;109,045618;82,585031;109,045618
0,349167;109,181319;82,671478;109,181319
0,350167;109,316364;82,757491;109,316364
0,351167;109,450751;82,843070;109,450751
0,352167;109,584477;82,928214;109,584477
0,353167;109,717542;83,012921;109,717542
0,354167;109,849942;83,097192;109,849942
0,355167;109,981676;83,181026;109,981676
0,356167;110,112742;83,264422;110,112742
0,357167;110,243137;83,347379;110,243137
0,358167;110,372861;83,429898;110,372861
0,359167;110,501911;83,511976;110,501911
0,360167;110,630284;83,593614;110,630284
0,361167;110,757981;83,674811;110,757981
0,362167;110,884997;83,755567;110,884997
0,363167;111,011333;83,835880;111,011333
0,364167;111,136985;83,915751;111,136985
0,365167;111,261953;83,995178;111,261953
0,366167;111,386234;84,074162;111,386234
0,367167;111,509826;84,152702;111,509826
0,368167;111,632729;84,230797;111,632729
0,369167;111,754940;84,308447;111,754940
0,370167;111,876458;84,385651;111,876458
0,371167;111,997281;84,462409;111,997281
0,372167;112,117408;84,538721;112,117408
0,373167;112,236836;84,614585;112,236836
0,374167;112,355565;84,690003;112,355565
0,375167;112,473593;84,764972;112,473593
0,376167;112,590918;84,839493;112,590918
0,377167;112,707540;84,913565;112,707540
0,378167;112,823455;84,987188;112,823455
0,379167;112,938664;85,060362;112,938664
0,380167;113,053164;85,133086;113,053164
0,381167;113,166955;85,205360;113,166955
0,382167;113,280034;85,277183;113,280034
0,383167;113,392401;85,348556;113,392401
0,384167;113,504054;85,419477;113,504054
0,385167;113,614991;85,489947;113,614991
0,386167;113,725213;85,559965;113,725213
0,387167;113,834716;85,629531;113,834716
0,388167;113,943501;85,698644;113,943501
0,389167;114,051566;85,767305;114,051566
0,390167;114,158909;85,835512;114,158909
0,391167;114,265529;85,903267;114,265529
0,392167;114,371426;85,970568;114,371426
0,393167;114,476598;86,037415;114,476598
0,394167;114,581044;86,103808;114,581044
0,395167;114,684763;86,169746;114,684763
0,396167;114,787754;86,235230;114,787754
0,397167;114,890016;86,300260;114,890016
0,398167;114,991547;86,364834;114,991547
0,399167;115,092347;86,428954;115,092347
0,400167;115,192415;86,492617;115,192415
0,401167;115,291750;86,555826;115,291750
0,402167;115,390350;86,618578;115,390350
0,403167;115,488215;86,680874;115,488215
0,404167;115,585344;86,742714;115,585344
0,405167;115,681737;86,804098;115,681737
0,406167;115,777391;86,865025;115,777391
0,407167;115,872307;86,925496;115,872307
0,408167;115,966483;86,985510;115,966483
0,409167;116,059918;87,045066;116,059918
0,410167;116,152613;87,104166;116,152613
0,411167;116,244565;87,162808;116,244565
0,412167;116,335775;87,220992;116,335775
0,413167;116,426241;87,278719;116,426241
0,414167;116,515963;87,335988;116,515963
0,415167;116,604939;87,392799;116,604939
0,416167;116,693171;87,449153;116,693171
0,417167;116,780655;87,505048;116,780655
