Standard Model;Bus 1
"Zeitpunkt in s";"Elektrische Frequenz in Hz"
0,613000;60,000000
0,614000;60,000000
0,615000;60,000000
0,616000;60,000000
0,617000;60,000000
0,618000;60,000000
0,619000;60,000000
0,620000;60,000000
0,621000;60,000000
0,622000;60,000000
0,623000;60,000000
0,624000;60,000000
0,625000;60,000000
0,626000;60,000000
0,627000;60,000000
0,628000;60,000000
0,629000;60,000000
0,630000;60,000000
0,631000;60,000000
0,632000;60,000000
0,633000;60,000000
0,634000;60,000000
0,635000;60,000000
0,636000;60,000000
0,637000;60,000000
0,638000;60,000000
0,639000;60,000000
0,640000;60,000000
0,641000;60,000000
0,642000;60,000000
0,643000;60,000000
0,644000;60,000000
0,645000;60,000000
0,646000;60,000000
0,647000;60,000000
0,648000;60,000000
0,649000;60,000000
0,650000;60,000000
0,651000;60,000000
0,652000;60,000000
0,653000;60,000000
0,654000;60,000000
0,655000;60,000000
0,656000;60,000000
0,657000;60,000000
0,658000;60,000000
0,659000;60,000000
0,660000;60,000000
0,661000;60,000000
0,662000;60,000000
0,663000;60,000000
0,664000;60,000000
0,665000;60,000000
0,666000;60,000000
0,667000;60,000000
0,668000;60,000000
0,669000;60,000000
0,670000;60,000000
0,671000;60,000000
0,672000;60,000000
0,673000;60,000000
0,674000;60,000000
0,675000;60,000000
0,676000;60,000000
0,677000;60,000000
0,678000;60,000000
0,679000;60,000000
0,680000;60,000000
0,681000;60,000000
0,682000;60,000000
0,683000;60,000000
0,684000;60,000000
0,685000;60,000000
0,686000;60,000000
0,687000;60,000000
0,688000;60,000000
0,689000;60,000000
0,690000;60,000000
0,691000;60,000000
0,692000;60,000000
0,693000;60,000000
0,694000;60,000000
0,695000;60,000000
0,696000;60,000000
0,697000;60,000000
0,698000;60,000000
0,699000;60,000000
0,700000;60,000000
0,701000;60,000000
0,702000;60,000000
0,703000;60,000000
0,704000;60,000000
0,705000;60,000000
0,706000;60,000000
0,707000;60,000000
0,708000;60,000000
0,709000;60,000000
0,710000;60,000000
0,711000;60,000000
0,712000;60,000000
0,713000;60,000000
0,714000;60,000000
0,715000;60,000000
0,716000;60,000000
0,717000;60,000000
0,718000;60,000000
0,719000;60,000000
0,720000;60,000000
0,721000;60,000000
0,722000;60,000000
0,723000;60,000000
0,724000;60,000000
0,725000;60,000000
0,726000;60,000000
0,727000;60,000000
0,728000;60,000000
0,729000;60,000000
0,730000;60,000000
0,731000;60,000000
0,732000;60,000000
0,733000;60,000000
0,734000;60,000000
0,735000;60,000000
0,736000;60,000000
0,737000;60,000000
0,738000;60,000000
0,739000;60,000000
0,740000;60,000000
0,741000;60,000000
0,742000;60,000000
0,743000;60,000000
0,744000;60,000000
0,745000;60,000000
0,746000;60,000000
0,747000;60,000000
0,748000;60,000000
0,749000;60,000000
0,750000;60,000000
0,751000;60,000000
0,752000;60,000000
0,753000;60,000000
0,754000;60,000000
0,755000;60,000000
0,756000;60,000000
0,757000;60,000000
0,758000;60,000000
0,759000;60,000000
0,760000;60,000000
0,761000;60,000000
0,762000;60,000000
0,763000;60,000000
0,764000;60,000000
0,765000;60,000000
0,766000;60,000000
0,767000;60,000000
0,768000;60,000000
0,769000;60,000000
0,770000;60,000000
0,771000;60,000000
0,772000;60,000000
0,773000;60,000000
0,774000;60,000000
0,775000;60,000000
0,776000;60,000000
0,777000;60,000000
0,778000;60,000000
0,779000;60,000000
0,780000;60,000000
0,781000;60,000000
0,782000;60,000000
0,783000;60,000000
0,784000;60,000000
0,785000;60,000000
0,786000;60,000000
0,787000;60,000000
0,788000;60,000000
0,789000;60,000000
0,790000;60,000000
0,791000;60,000000
0,792000;60,000000
0,793000;60,000000
0,794000;60,000000
0,795000;60,000000
0,796000;60,000000
0,797000;60,000000
0,798000;60,000000
0,799000;60,000000
0,800000;60,000000
0,801000;60,000000
0,802000;60,000000
0,803000;60,000000
0,804000;60,000000
0,805000;60,000000
0,806000;60,000000
0,807000;60,000000
0,808000;60,000000
0,809000;60,000000
0,810000;60,000000
0,811000;60,000000
0,812000;60,000000
0,813000;60,000000
0,814000;60,000000
0,815000;60,000000
0,816000;60,000000
0,817000;60,000000
0,818000;60,000000
0,819000;60,000000
0,820000;60,000000
0,821000;60,000000
0,822000;60,000000
0,823000;60,000000
0,824000;60,000000
0,825000;60,000000
0,826000;60,000000
0,827000;60,000000
0,828000;60,000000
0,829000;60,000000
0,830000;60,000000
0,831000;60,000000
0,832000;60,000000
0,833000;60,000000
0,834000;60,000000
0,835000;60,000000
0,836000;60,000000
0,837000;60,000000
0,838000;60,000000
0,839000;60,000000
0,840000;60,000000
0,841000;60,000000
0,842000;60,000000
0,843000;60,000000
0,844000;60,000000
0,845000;60,000000
0,846000;60,000000
0,847000;60,000000
0,848000;60,000000
0,849000;60,000000
0,850000;60,000000
0,851000;60,000000
0,852000;60,000000
0,853000;60,000000
0,854000;60,000000
0,855000;60,000000
0,856000;60,000000
0,857000;60,000000
0,858000;60,000000
0,859000;60,000000
0,860000;60,000000
0,861000;60,000000
0,862000;60,000000
0,863000;60,000000
0,864000;60,000000
0,865000;60,000000
0,866000;60,000000
0,867000;60,000000
0,868000;60,000000
0,869000;60,000000
0,870000;60,000000
0,871000;60,000000
0,872000;60,000000
0,873000;60,000000
0,874000;60,000000
0,875000;60,000000
0,876000;60,000000
0,877000;60,000000
0,878000;60,000000
0,879000;60,000000
0,880000;60,000000
0,881000;60,000000
0,882000;60,000000
0,883000;60,000000
0,884000;60,000000
0,885000;60,000000
0,886000;60,000000
0,887000;60,000000
0,888000;60,000000
0,889000;60,000000
0,890000;60,000000
0,891000;60,000000
0,892000;60,000000
0,893000;60,000000
0,894000;60,000000
0,895000;60,000000
0,896000;60,000000
0,897000;60,000000
0,898000;60,000000
