Classical Model;G2;G3
"Zeitpunkt in s";"firel in deg";"firel in deg"
0,571467;73,462074;50,546974
0,572467;73,335100;50,446943
0,573467;73,207251;50,346061
0,574467;73,078528;50,244331
0,575467;72,948934;50,141755
0,576467;72,818472;50,038336
0,577467;72,687143;49,934077
0,578467;72,554951;49,828981
0,579467;72,421897;49,723050
0,580467;72,287985;49,616288
0,581467;72,153217;49,508697
0,582467;72,017595;49,400281
0,583467;71,881122;49,291043
0,584467;71,743800;49,180985
0,585467;71,605633;49,070112
0,586467;71,466623;48,958426
0,587467;71,326772;48,845930
0,588467;71,186083;48,732629
0,589467;71,044559;48,618525
0,590467;70,902203;48,503621
0,591467;70,759017;48,387922
0,592467;70,615004;48,271431
0,593467;70,470167;48,154151
0,594467;70,324509;48,036087
0,595467;70,178032;47,917241
0,596467;70,030740;47,797618
0,597467;69,882636;47,677222
0,598467;69,733722;47,556056
0,599467;69,584001;47,434125
0,600467;69,433477;47,311432
0,601467;69,282152;47,187981
0,602467;69,130029;47,063777
0,603467;68,977111;46,938824
0,604467;68,823403;46,813125
0,605467;68,668905;46,686686
0,606467;68,513623;46,559510
0,607467;68,357558;46,431602
0,608467;68,200715;46,302966
0,609467;68,043096;46,173607
0,610467;67,884704;46,043530
0,611467;67,725544;45,912738
0,612467;67,565617;45,781236
0,613467;67,404928;45,649030
0,614467;67,243480;45,516124
0,615467;67,081277;45,382523
0,616467;66,918320;45,248231
0,617467;66,754615;45,113254
0,618467;66,590165;44,977596
0,619467;66,424972;44,841263
0,620467;66,259042;44,704259
0,621467;66,092376;44,566590
0,622467;65,924979;44,428261
0,623467;65,756855;44,289277
0,624467;65,588007;44,149643
0,625467;65,418438;44,009365
0,626467;65,248153;43,868448
0,627467;65,077155;43,726898
0,628467;64,905448;43,584720
0,629467;64,733035;43,441919
0,630467;64,559921;43,298502
0,631467;64,386110;43,154473
0,632467;64,211605;43,009839
0,633467;64,036410;42,864605
0,634467;63,860530;42,718777
0,635467;63,683967;42,572361
0,636467;63,506727;42,425363
0,637467;63,328813;42,277788
0,638467;63,150230;42,129644
0,639467;62,970981;41,980935
0,640467;62,791070;41,831668
0,641467;62,610502;41,681849
0,642467;62,429282;41,531485
0,643467;62,247412;41,380581
0,644467;62,064898;41,229144
0,645467;61,881744;41,077180
0,646467;61,697954;40,924696
0,647467;61,513533;40,771697
0,648467;61,328485;40,618192
0,649467;61,142814;40,464185
0,650467;60,956525;40,309684
0,651467;60,769622;40,154696
0,652467;60,582110;39,999226
0,653467;60,393994;39,843282
0,654467;60,205278;39,686871
0,655467;60,015966;39,529998
0,656467;59,826064;39,372672
0,657467;59,635576;39,214899
0,658467;59,444508;39,056687
0,659467;59,252862;38,898041
0,660467;59,060646;38,738969
0,661467;58,867862;38,579478
0,662467;58,674517;38,419575
0,663467;58,480615;38,259268
