t,V,θ,Eq,Ed,ψ1d,ψ2q,δ,ω,Id,Iq,Pg,Qg,dEq,dEd,dψ1d,dψ2q,dδ,dω,Efd,Vt,Vr,Vf,dEfd,dVt,dVr,dVf,Pm,Pv,Tm,dPm,dPv
13.489610262207565,1.0495049693555536,0.09619840266490425,1.0453862318596845,0.48467768636845543,0.8838581520834345,-0.6638585809581278,0.8675517159860343,0.9996285673508368,0.7316267857537547,0.37962567668017017,6.5673904527106854,2.1822444145083146,-0.00032719665764095366,5.942204459903342e-5,-0.0003023776469772248,-6.924192040537457e-5,0.00020610570689178162,1.6418315847538317e-5,2.2369721653018133,1.0495062635810086,-0.09371342531628389,-5.04540522046581e-5,3.335082509886687e-5,-0.00012942255950021208,0.00043997559094107776,4.251100171637317e-5,0.8210665930399212,0.82018873177224,0.8213716772979512,-0.0002736378224803665,-0.0005201576400822717
13.499610262207565,1.0495036815620624,0.09619811292922073,1.045382963861021,0.48467827615079795,0.8838551349137596,-0.6638592683922369,0.867553709657427,0.9996287307277207,0.7316253506158185,0.3796258105075699,6.567379782945707,2.1822173183930094,-0.0003264002474885729,5.853801972962767e-5,-0.00030105646033060026,-6.825634675327294e-5,0.00019252388727534575,1.6257506117841417e-5,2.2369725455854703,1.0495049714718732,-0.0937090394836918,-5.002782056814672e-5,4.269699990016186e-5,-0.00012899097065184348,0.0004371532069336156,4.273448868615605e-5,0.8210638605452879,0.8201835493562323,0.8213688095455094,-0.0002728610333565552,-0.00051632774036252
13.509610262207564,1.049502398830134,0.09619770140262168,1.045379703910807,0.4846788572006821,0.8838521309538888,-0.6638599463085707,0.8675555643873185,0.9996288925096771,0.7316238921444499,0.37962594765948626,6.567368990816985,2.1821901856576464,-0.00032558700413310907,5.767582487999981e-5,-0.0002997357311639795,-6.733843185641406e-5,0.00017831973655028612,1.609930341027573e-5,2.2369730190590302,1.049503683927098,-0.09370468300391512,-4.959937937241686e-5,5.198826483740872e-5,-0.00012850969558797655,0.0004341051846880792,4.295288581595165e-5,0.8210611358210156,0.8201784051751642,0.8213659508776945,-0.0002720837712133998,-0.0005125107160870501
13.519610262207564,1.0495011216555772,0.09619716120185444,1.0453764521763556,0.4846794297443543,0.883849140197753,-0.6638606153859192,0.867557274021458,0.9996290527220084,0.7316224112825026,0.3796260891734651,6.567358092773513,2.182163012125724,-0.0003247571502879413,5.683721324010625e-5,-0.0002984158021152434,-6.648868327646464e-5,0.00016350843401435251,1.5943539165628952e-5,2.236973585157385,1.0495024014432688,-0.09370035812854781,-4.916878033913905e-5,6.122110334571083e-5,-0.0001279787959503561,0.00043083257524765585,4.316601211287372e-5,0.8210584188711628,0.8201732990982018,0.8213631012777869,-0.00027130618613921664,-0.000508707032699265
13.529610262207564,1.049499850532401,0.09619648566085388,1.045373208821985,0.4846799940324405,0.8838461626338698,-0.6638612763112183,0.8675588326131926,0.9996292113877147,0.7316209089398786,0.3796262360198633,6.567347104612368,2.1821357937808314,-0.0003239110305773529,5.602499297478423e-5,-0.000297097293714138,-6.570802898302243e-5,0.00014811402145340058,1.57899484549582e-5,2.2369742432674893,1.0495011245161212,-0.09369606709491717,-4.873607766463056e-5,7.038996451849744e-5,-0.00012739837731804918,0.0004273370553311418,4.3373581102306166e-5,0.821055709697625,0.8201682309877554,0.8213602607288935,-0.00027052852885569786,-0.0005049174740654706
13.539610262207564,1.0494985859544217,0.09619566833337066,1.0453699740090794,0.4846805503376463,0.8838431982474463,-0.6638619297758885,0.8675602344174611,0.9996293685276276,0.7316193859648955,0.37962638911136637,6.567336041441333,2.182108526899976,-0.00032304891115028043,5.524101875032295e-5,-0.0002957803452482815,-6.499659504501576e-5,0.00013215459127784209,1.563834183456564e-5,2.2369749927294325,1.0494998536402507,-0.0936918121251801,-4.83013279443512e-5,7.949061748875079e-5,-0.00012676856519343475,0.0004236200863843344,4.3575377822590585e-5,0.8210530083004347,0.8201632007005063,0.8213574292138085,-0.00026975094718502613,-0.0005011424855566315
13.549610262207564,1.0494973284136384,0.0961947029977322,1.04536674789603,0.484681098953818,0.8838402470218452,-0.6638625764731991,0.8675614738941474,0.9996295241604359,0.7316178431524504,0.3796265492915235,6.567324917574978,2.182081207956435,-0.00032217110856398517,5.448747008296096e-5,-0.0002944650903378414,-6.435446554975939e-5,0.00011565180968313095,1.5488495518127278e-5,2.236975832835446,1.0494985893088133,-0.09368759542491904,-4.7864590207708764e-5,8.851799656523918e-5,-0.00012608952553653944,0.0004196834753473202,4.3771145290658714e-5,0.8210503146779088,0.820158208087945,0.8213546067153972,-0.00026897361539811093,-0.0004973825910560315
13.559610262207563,1.049496078398192,0.09619358365930927,1.045363530638257,0.4846816401932204,0.8838373089414189,-0.6638632170931887,0.8675625457062145,0.9996296783028317,0.7316162812478775,0.3796267173210784,6.567313746401992,2.1820538335318784,-0.00032127790646573724,5.3765916593213985e-5,-0.0002931512240311817,-6.378095185886411e-5,9.862511417632879e-5,1.5340228268305166e-5,2.236976762830024,1.049497332012986,-0.09368341918103186,-4.742592588218604e-5,9.746751111170882e-5,-0.00012536148993425993,0.0004155291827245701,4.3960655179116925e-5,0.8210476288269887,0.8201532529975617,0.8213517932170313,-0.00026819664120211056,-0.0004936380893406614
13.569610262207563,1.0494948363941554,0.09619230455583591,1.0453603223882666,0.4846821743847386,0.8838343839931211,-0.663863852319771,0.8675634447168079,0.9996298309696191,0.7316147009166265,0.37962689388862464,6.567302540371772,2.1820264004795096,-0.0003203695982004381,5.307810002749305e-5,-0.0002918385609914492,-6.327557394019358e-5,8.109470385245122e-5,1.519334683347412e-5,2.2369777819104613,1.0494960822416528,-0.09367928556058643,-4.698539874818088e-5,0.00010633441094028195,-0.00012458467606212247,0.0004111591555382562,4.414366989169515e-5,0.8210449507434429,0.8201483352735406,0.8213489887023078,-0.00026742015230650523,-0.0004899093465814855
13.579610262207563,1.0494936028866326,0.09619086016190145,1.045357123295762,0.4846827018708285,0.883831472169103,-0.6638644828259961,0.8675641659850305,0.9996299821739144,0.7316131027201023,0.3796270796193649,6.567291310929925,2.181998906011492,-0.0003194464538692717,5.2425031033759344e-5,-0.00029052626761273117,-6.283667335678856e-5,6.307982147231241e-5,1.504770397111277e-5,2.2369788892277422,1.049494840480841,-0.09367519670866777,-4.654307486480659e-5,0.00011511412969078922,-0.00012375943690252136,0.00040657585530980665,4.4319968351545156e-5,0.8210422804221701,0.8201434547578149,0.8213461931549896,-0.00026664419919381977,-0.000486196461834294
